Team,Season,Record,Points,GP,TOI 5v5,GF 5v5,GA 5v5,FF 5v5,FA 5v5,xGF 5v5,xGA 5v5
New York Rangers,20-21,27-23-6,60,56,2691:39:00,116,106,1691,1855,95.94,104.19
Ottawa Senators,20-21,23-28-5,51,56,2688:59:00,105,132,1870,1962,102.58,110.51
Philadelphia Flyers,20-21,25-23-8,58,56,2716:58:00,108,134,1834,1725,98.93,96.71
Pittsburgh Penguins,20-21,37-16-3,77,56,2768:12:00,126,100,1794,1767,99.16,101.79
San Jose Sharks,20-21,21-28-7,49,56,2690:32:00,105,134,1806,1936,111.25,112.63
St Louis Blues,20-21,27-20-9,63,56,2739:03:00,102,109,1643,1815,89.94,105.16
Tampa Bay Lightning,20-21,36-17-3,75,56,2626:04:00,111,97,1796,1631,101.03,88.6
Toronto Maple Leafs,20-21,35-14-7,77,56,2749:46:00,132,95,1885,1764,117.72,96.73
Vancouver Canucks,20-21,23-29-4,50,56,2686:01:00,103,131,1757,2013,100.35,124.18
Vegas Golden Knights,20-21,40-14-2,82,56,2735:49:00,135,97,1982,1708,122.17,106.86
Washington Capitals,20-21,36-15-5,77,56,2724:45:00,131,107,1819,1796,100.68,93.99
Winnipeg Jets,20-21,30-23-3,63,56,2726:51:00,109,101,1736,1870,99.6,113.59
Anaheim Ducks,21-22,31-37-14,76,82,4035:58:00,154,186,2699,2942,161.89,177.81
Arizona Coyotes,21-22,25-50-7,57,82,4016:11:00,157,221,2392,3110,141.61,188.75
Boston Bruins,21-22,51-26-5,107,82,3900:28:00,172,144,3080,2447,173.15,130.55
Buffalo Sabres,21-22,32-39-11,75,82,4060:51:00,158,200,2626,2900,147.33,171.63
Calgary Flames,21-22,50-21-11,111,82,3972:43:00,196,139,3205,2594,185.01,151.14
Carolina Hurricanes,21-22,54-20-8,116,82,3894:47:00,193,141,3169,2510,198.42,162.1
Chicago Blackhawks,21-22,28-42-12,68,82,4001:28:00,143,192,2436,2865,138.68,165.72
Colorado Avalanche,21-22,56-19-7,119,82,3904:23:00,198,153,2925,2710,167.99,154.35
Columbus Blue Jackets,21-22,37-38-7,81,82,4000:19:00,177,214,2721,3108,156.43,189.69
Dallas Stars,21-22,46-30-6,98,82,3996:41:00,147,159,2708,2794,166.77,160.88
Detroit Red Wings,21-22,32-40-10,74,82,4007:40:00,159,203,2508,2994,156.17,180.62
Edmonton Oilers,21-22,49-27-6,104,82,3984:22:00,181,173,2934,2754,178.23,165.61
Florida Panthers,21-22,58-18-6,122,82,3923:24:00,218,161,3224,2527,206.63,162.85
Los Angeles Kings,21-22,44-27-11,99,82,3978:17:00,155,152,3083,2525,182.39,161.82
Minnesota Wild,21-22,53-22-7,113,82,3850:46:00,207,150,2745,2623,157.22,136.23
Montreal Canadiens,21-22,22-49-11,55,82,3928:08:00,154,195,2532,2927,155.42,183.32
Nashville Predators,21-22,45-30-7,97,82,3858:58:00,165,156,2670,2671,150.51,149.87
New Jersey Devils,21-22,27-46-9,63,82,4040:53:00,181,216,2933,2911,175.08,166.75
New York Islanders,21-22,37-35-10,84,82,4031:42:00,159,160,2537,2960,159.46,178.09
New York Rangers,21-22,52-24-6,110,82,4040:44:00,158,148,2514,2796,151.6,170.27
Ottawa Senators,21-22,33-42-7,73,82,3959:16:00,147,175,2670,2888,154.97,175.36
Philadelphia Flyers,21-22,25-46-11,61,82,3958:44:00,159,189,2632,3004,155.74,178.93
Pittsburgh Penguins,21-22,46-25-11,103,82,4030:00:00,180,154,3031,2697,178.82,156.01
San Jose Sharks,21-22,32-37-13,77,82,4015:35:00,142,179,2607,2957,153.62,173.54
Seattle Kraken,21-22,27-49-6,60,82,4011:10:00,152,188,2634,2622,144.55,154.18
St Louis Blues,21-22,49-22-11,109,82,3992:25:00,199,170,2578,2963,162.45,181.48
